date,regime,sizing,sizing_smooth,vix,vix_in_range,opposition_score,uncertainty_score,composite_chop,copper_adx,high_chop_signal,mild_chop_signal,dxy_csi300_corr,dxy_china10y_corr,equity_opposition,bond_opposition
2010-08-23,NORMAL,1.0,1.0,25.66,False,,0.5,,25.0,False,False,,,,
2010-08-24,NORMAL,1.0,1.0,27.46,False,,0.5,,25.0,False,False,,,,
2010-08-25,NORMAL,1.0,1.0,26.7,False,,0.5,,100.0,False,False,,,,
2010-08-26,NORMAL,1.0,1.0,27.37,False,,0.5,,95.81278309008556,False,False,,,,
2010-08-27,NORMAL,1.0,1.0,24.45,True,,0.5,,94.16400199358655,False,False,,,,
2010-08-30,NORMAL,1.0,1.0,27.21,False,,0.5,,92.73505837662074,False,False,,,,
2010-08-31,NORMAL,1.0,1.0,26.05,False,,0.5,,89.73890797022239,False,False,,,,
2010-09-01,NORMAL,1.0,1.0,23.89,True,,0.5,,88.69173656392442,False,False,,,,
2010-09-02,NORMAL,1.0,1.0,23.19,True,,0.5,,87.98150197620593,False,False,,,,
2010-09-03,NORMAL,1.0,1.0,21.31,True,,0.5,,87.44253058950572,False,False,,,,
2010-09-06,NORMAL,1.0,1.0,21.31,True,,0.5,,87.37318988526062,False,False,,,,
2010-09-07,NORMAL,1.0,1.0,23.8,True,,0.5,,85.9505103648223,False,False,,,,
2010-09-08,NORMAL,1.0,1.0,23.25,True,,0.5,,84.7175214471091,False,False,,,,
2010-09-09,NORMAL,1.0,1.0,22.81,True,,0.5,,77.98013043707273,False,False,,,,
2010-09-10,NORMAL,1.0,1.0,21.99,True,,0.5,,68.46193926456624,False,False,,,,
2010-09-13,NORMAL,1.0,1.0,21.21,True,,0.5,,62.76626233815955,False,False,,,,
2010-09-14,NORMAL,1.0,1.0,21.56,True,,0.5,,58.55367648480385,False,False,,,,
2010-09-15,NORMAL,1.0,1.0,22.1,True,,0.5,,54.33201460376843,False,False,,,,
2010-09-16,NORMAL,1.0,1.0,21.72,True,,0.5,,52.085643157884746,False,False,,,,
2010-09-17,NORMAL,1.0,1.0,22.01,True,,0.5,,50.71531053925365,False,False,,,,
2010-09-20,NORMAL,1.0,1.0,21.5,True,,0.5,,49.52768893644004,False,False,,,,
2010-09-21,NORMAL,1.0,1.0,22.35,True,,0.5,,45.874351452203115,False,False,,,,
2010-09-22,NORMAL,1.0,1.0,22.51,True,,0.5,,46.58051081465103,False,False,,,,
2010-09-23,NORMAL,1.0,1.0,23.87,True,,0.5,,47.95378431506907,False,False,,,,
2010-09-24,NORMAL,1.0,1.0,21.71,True,,0.5,,50.11163861482429,False,False,,,,
2010-09-27,NORMAL,1.0,1.0,22.54,True,,0.5,,51.98177900794548,False,False,,,,
2010-09-28,NORMAL,1.0,1.0,22.6,True,,0.5,,53.7073682489044,False,False,,,,
2010-09-29,NORMAL,1.0,1.0,23.25,True,,0.5,,56.71173104424274,False,False,,,,
2010-09-30,NORMAL,1.0,1.0,23.7,True,,0.5,,59.31551213353596,False,False,,,,
2010-10-01,NORMAL,1.0,1.0,22.5,True,,0.5,,61.95344988514496,False,False,,,,
2010-10-04,NORMAL,1.0,1.0,23.53,True,,0.5,,64.2396626032061,False,False,,,,
2010-10-05,NORMAL,1.0,1.0,21.76,True,,0.5,,66.92549204485118,False,False,,,,
2010-10-06,NORMAL,1.0,1.0,21.49,True,,0.5,,69.75625384466952,False,False,,,,
2010-10-07,NORMAL,1.0,1.0,21.56,True,,0.5,,67.10816820816325,False,False,,,,
2010-10-08,NORMAL,1.0,1.0,20.71,True,,0.5,,65.72192357365897,False,False,,,,
2010-10-11,NORMAL,1.0,1.0,18.96,True,,0.5,,64.5205115570886,False,False,,,,
2010-10-12,NORMAL,1.0,1.0,18.93,True,,0.5,,64.11735304373572,False,False,,,,
2010-10-13,NORMAL,1.0,1.0,19.07,True,,0.5,,64.06745797799378,False,False,,,,
2010-10-14,NORMAL,1.0,1.0,19.88,True,,0.5,,64.6564961173985,False,False,,,,
2010-10-15,NORMAL,1.0,1.0,19.03,True,,0.5,,65.16699583821593,False,False,,,,
2010-10-18,NORMAL,1.0,1.0,19.09,True,,0.5,,66.30110762593664,False,False,,,,
2010-10-19,NORMAL,1.0,1.0,20.63,True,,0.5,,58.43594799710313,False,False,,,,
